Rank,Name,Type,Tags
121,Natsume's Book of Friends Movie: Ephemeral Bond,Movie,drama fantasy shoujo bodyguards cats countryside iyashikei japanesemythology orphans supernatural youkai basedonamanga yukimidorikawa
122,Odd Taxi,TV,drama mystery animalprotagonists anthropomorphic non-humanprotagonists psychological socialmedia originalwork violence p.i.c.s.
123,The Legend of Hei,Movie,action adventure fantasy animalcharacteristics animaltransformation cats chineseanimation contemporaryfantasy familyfriendly non-humanprotagonists urbanfantasy
124,Death Note,TV,mystery shounen crime criminals detectives mindgames overpoweredmaincharacters psychological psychopaths rivalries secretidentity serialkillers shinigami supernatural thriller vigilantes basedonamanga tsugumiohba
125,Moriarty the Patriot 2nd Season,TV,mystery shounen 19thcentury detectives england europe historical sherlockholmes basedonamanga violence hikarumiyoshi
126,Fate/stay night: Heaven's Feel III. spring song,Movie,action fantasy romance magic superpowers basedonaneroge basedonavisualnovel maturethemes  suicide  violence
127,One Piece Movie 14: Stampede,Movie,action adventure shounen pirates superpowers basedonamanga eiichirooda
128,Kingdom 3,TV,action drama seinen ancientchina historical political war basedonamanga yasuhisahara
129,One Piece,TV,action adventure comedy fantasy shounen pirates superpowers basedonamanga eiichirooda
131,Tokyo Revengers,TV,action drama shounen delinquents gangs timetravel basedonamanga maturethemes  suicide  violence kenwakui
132,My Hero Academia Movie 2: Heroes:Rising,Movie,action scifi shounen superheroes superpowers basedonamanga kouheihorikoshi
133,Fate/Zero 2,TV,action fantasy contemporaryfantasy magic proxybattles rivalries superpowers urbanfantasy basedonalightnovel violence genurobuchi
134,My Hero Academia,TV,action comedy drama scifi shounen schoollife superheroes superpowers weaktostrong basedonamanga violence kouheihorikoshi
135,Steins;Gate Movie: Load Region of Deja Vu,Movie,drama scifi thriller timetravel basedonavisualnovel chiyomarushikura
136,KonoSuba – God’s blessing on this wonderful world! Movie: Legend of Crimson,Movie,comedy ecchi fantasy isekai neet personinastrangeworld rpg basedonalightnovel
137,Yuri!!! on Ice,TV,drama sports adultcouples iceskating rivalries tournaments originalwork
138,Dou Po Cangqiong: San Nian Zhi Yao,Web,action fantasy chineseanimation xianxia basedonawebnovel cganimation silkwormpotato
139,Dororo (2019),TV,action adventure shounen 15thcentury curse darkfantasy dealwiththedevil demons feudaljapan historical samurai supernatural war basedonamanga animalabuse  explicitviolence  maturethemes  physicalabuse  sexualcontent osamutezuka
140,Bunny Drop,TV,drama josei sliceoflife childcare familylife iyashikei lifestylechange noitamina singleparent basedonamanga yumiunita
141,Gintama: Shinyaku Benizakura-hen,Movie,action comedy drama scifi shounen aliens feudaljapan recap samurai swordplay basedonamanga hideakisorachi
142,The Garden of Sinners Movie 5: Paradox Paradigm,Movie,drama mystery overpoweredmaincharacters supernatural basedonalightnovel explicitviolence  maturethemes  physicalabuse  domesticabuse kinokonasu
143,Bakuman. 3,TV,drama shounen animeindustry mangaindustry otakuculture voiceacting writers basedonamanga tsugumiohba
144,The Disastrous Life of Saiki K.,TV,comedy shounen sliceoflife breakingthefourthwall gag psychicpowers schoollife shortepisodes supernatural superpowers basedonamanga shuichiasou
146,Black Butler: Book of the Atlantic,Movie,shounen 19thcentury butlers demons europe master-servantrelationship non-humanprotagonists supernatural zombies basedonamanga violence yanatoboso
147,The Boy and the Beast,Movie,action fantasy anthropomorphic comingofage isekai japanesemythology non-humanprotagonists personinastrangeworld originalwork
148,Miss Kobayashi's Dragon Maid S,TV,comedy fantasy seinen sliceoflife animalcharacteristics cohabitation contemporaryfantasy dragons maids monstergirls non-humanprotagonists reverseisekai roommates urbanfantasy basedonamanga coolkyousinjya
149,Kono Oto Tomare! 2nd Season,TV,drama romance shounen music schoolclub schoollife basedonamanga amyuusakura
150,The Disappearance of Haruhi Suzumiya,Movie,drama scifi shounen psychological timetravel basedonalightnovel nagarutanigawa
151,Kizumonogatari Part 2: Nekketsu,Movie,action ecchi psychological supernatural vampires basedonalightnovel explicitviolence nisioisin
152,Mushishi Zoku Shou: Suzu no Shizuku,Movie,fantasy seinen countryside forest iyashikei supernatural basedonamanga yukiurushibara
153,Overlord III,TV,action fantasy scifi darkfantasy isekai magic overpoweredmaincharacters personinastrangeworld rpg skeletons trappedinavideogame virtualreality basedonalightnovel kuganemaruyama
154,Re:ZERO -Starting Life in Another World- Season 2: Part II,TV,action adventure drama fantasy cheats darkfantasy isekai magic personinastrangeworld psychological summonedintoanotherworld thriller timetravel basedonalightnovel tappeinagatsuki
155,Laid-Back Camp 2nd Season,TV,adventure comedy seinen sliceoflife iyashikei thegreatoutdoors basedonamanga afro
156,Saga of Tanya the Evil Movie,Movie,action fantasy guns isekai military personinastrangeworld reincarnation war basedonalightnovel violence
160,Natsume's Book of Friends Season 5 Specials,DVD S,shoujo sliceoflife bodyguards cats countryside iyashikei japanesemythology orphans supernatural youkai basedonamanga yukimidorikawa
162,Parasyte -the maxim-,TV,action drama horror scifi seinen aliens bodysharing psychological basedonamanga animalabuse  bullying  explicitviolence  maturethemes hitoshiiwaaki
163,Hikari: Be My Light,Web,bl drama shounen-ai illness psychological shortepisodes maturethemes  suicide  self-harm
164,Ouran High School Host Club,TV,comedy reverseharem romance shoujo crossdressing debt hosts schoolclub schoollife socialgap basedonamanga biscohatori
165,Food Wars! The Second Plate,TV,comedy ecchi shounen cooking culinaryschool foodandbeverage schoollife tournaments basedonamanga yuutotsukuda
166,Ghost in the Shell: Stand Alone Complex 2nd Gig,TV,scifi seinen cyberpunk cyborgs hacking noir basedonamanga masamuneshirow
167,Barakamon,TV,comedy shounen sliceoflife art countryside island iyashikei lifestylechange basedonamanga satsukiyoshino
168,Noragami Aragoto,TV,action drama shounen ghosts gods japanesemythology non-humanprotagonists supernatural basedonamanga violence adachitoka
169,Ace of the Diamond: Act II,TV,shounen sports baseball tournaments basedonamanga yuujiterajima
